Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed,source_machine,source_workflow
train-1,asok01,atacseq,293800,MERGED_LIB_PICARD_METRICS,14554208,30397,135.8,1336508416,3211933647,792268,6,0,905216,20961628160,17179869184,1336508416,3175924766,3175924766,55059168,a1,atacseq
train-1,asok01,atacseq,587600,MERGED_LIB_PICARD_METRICS,29105620,32743,134.1,1494810624,3227065921,796309,6,0,876544,21432311808,17179869184,1494810624,3191646674,3191646674,110119968,a1,atacseq
train-1,asok01,atacseq,18798126,MERGED_LIB_PLOTPROFILE,931822514,699169,624.7,1547325440,2219321274,716112374,8,9396224,419536896,2275356672,17179869184,2183471104,99473066,99473066,3522936056,a1,atacseq
train-1,asok01,atacseq,18798126,MERGED_LIB_ATAQV,931822514,131676,197.0,96526336,4705625884,7288177,6,927776768,7286784,503033856,17179869184,96526336,1033223405,1033223405,3522936056,a1,atacseq
train-1,asok01,atacseq,18798126,MERGED_LIB_MACS2_ANNOTATE,931822514,170755,99.5,1486782464,964090453,246608102,6,4075520,246628352,1498304512,17179869184,1486782464,3306341645,3306341645,3522936056,a1,atacseq
train-1,asok01,atacseq,1175000,MERGED_LIB_PLOTPROFILE,58238751,681575,647.6,1470197760,2224103574,575653462,8,4050944,278814720,2192048128,17179869184,2148122624,13378612,13378612,220203968,a1,atacseq
train-1,asok01,atacseq,1175000,MERGED_LIB_ATAQV,58238751,10513,235.9,100282368,1098281568,702222,6,76763136,700416,487882752,17179869184,100282368,79268125,79268125,220203968,a1,atacseq
train-1,asok01,atacseq,1175000,MERGED_LIB_MACS2_ANNOTATE,58238751,159841,99.8,1331314688,909140717,207354959,6,8192,207376384,1342898176,17179869184,1331314688,3300120617,3300120617,220203968,a1,atacseq
train-1,asok01,atacseq,37596126,MERGED_LIB_ATAQV,1862380804,244647,189.6,161243136,6931989942,9758858,6,1229598720,9756672,573992960,17179869184,161243136,1966729193,1966729193,7045849256,a1,atacseq
train-1,asok01,atacseq,37596126,MERGED_LIB_MACS2_ANNOTATE,1862380804,173453,99.6,1542561792,984916767,261410270,6,0,261427200,1554141184,17179869184,1542561792,3308683368,3308683368,7045849256,a1,atacseq
train-1,asok01,atacseq,37596126,MERGED_LIB_PLOTPROFILE,1862380804,700345,622.1,1620111360,2342999490,765834853,8,93585408,469295104,2204332032,17179869184,2175836160,159510402,159510402,7045849256,a1,atacseq
